category,title,description
AI & Machine Learning,Machine Learning Engineer,"Python, machine learning, scikit-learn, pandas, numpy, SQL, TensorFlow, PyTorch, model evaluation, deployment, Git, Docker."
AI & Machine Learning,AI Engineer,"Python, artificial intelligence, machine learning, deep learning, NLP, computer vision, generative AI, APIs, Git and cloud deployment."
AI & Machine Learning,AI/ML Developer,"Python, machine learning, deep learning, scikit-learn, TensorFlow, PyTorch, pandas, numpy and model deployment."
AI & Machine Learning,Deep Learning Engineer,"Python, deep learning, neural networks, TensorFlow, PyTorch, computer vision, NLP and model optimization."
AI & Machine Learning,NLP Engineer,"Python, NLP, natural language processing, transformers, BERT, embeddings, machine learning, deep learning and text analytics."
AI & Machine Learning,Computer Vision Engineer,"Python, computer vision, OpenCV, deep learning, TensorFlow, PyTorch, image processing and object detection."
AI & Machine Learning,Generative AI Engineer,"Python, generative AI, LLMs, prompt engineering, embeddings, RAG, transformers, LangChain and vector search."
AI & Machine Learning,LLM Application Developer,"Python, LLMs, large language models, prompt engineering, embeddings, RAG, vector search, LangChain and Streamlit."
AI & Machine Learning,MLOps Engineer,"Python, machine learning, Docker, Kubernetes, Git, CI/CD, model deployment, cloud platforms and monitoring."
AI & Machine Learning,AI Research Scientist,"Python, machine learning, deep learning, NLP, computer vision, research, experimentation, statistics and model evaluation."
AI & Machine Learning,Machine Learning Researcher,"Python, machine learning, deep learning, PyTorch, TensorFlow, experimentation, statistics and research papers."
AI & Machine Learning,Prompt Engineer,"Generative AI, LLMs, prompt engineering, NLP, evaluation, Python, APIs and AI application development."
Data & Analytics,Data Scientist,"Python, pandas, numpy, scikit-learn, machine learning, SQL, statistics, data visualization and predictive modeling."
Data & Analytics,Data Analyst,"SQL, Excel, Python, pandas, data analysis, statistics, Power BI, Tableau, dashboards and reporting."
Data & Analytics,Business Data Analyst,"SQL, Excel, Python, Power BI, Tableau, data analysis, reporting, business intelligence and dashboards."
Data & Analytics,Business Intelligence Analyst,"SQL, Power BI, Tableau, Excel, data visualization, dashboards, reporting and business analytics."
Data & Analytics,Data Engineer,"Python, SQL, ETL, data pipelines, databases, cloud, Spark, data warehousing and Git."
Data & Analytics,Big Data Engineer,"Python, SQL, Spark, Hadoop, data pipelines, distributed systems, cloud and data processing."
Data & Analytics,Data Visualization Specialist,"Power BI, Tableau, Excel, SQL, Python, pandas, dashboards, reporting and data storytelling."
Data & Analytics,Quantitative Analyst,"Python, SQL, statistics, mathematics, data analysis, machine learning and financial modeling."
Software Development,Software Developer,"Python, Java, JavaScript, SQL, Git, REST API, software development, testing and databases."
Software Development,Software Engineer,"Python, Java, C++, JavaScript, SQL, Git, REST API, data structures, algorithms and software engineering."
Software Development,Python Developer,"Python, Django, Flask, FastAPI, REST API, SQL, Git, Linux and backend development."
Software Development,Java Developer,"Java, Spring, REST API, SQL, PostgreSQL, Git, Maven and backend development."
Software Development,C++ Developer,"C++, data structures, algorithms, object-oriented programming, Linux, Git and software development."
Software Development,JavaScript Developer,"JavaScript, TypeScript, React, Node.js, REST API, HTML, CSS and Git."
Software Development,Application Developer,"Python, Java, JavaScript, SQL, APIs, Git, testing and application development."
Software Development,Software Development Intern,"Python, Java, JavaScript, SQL, Git, object-oriented programming, testing and software development."
Software Development,Junior Software Engineer,"Python, Java, JavaScript, SQL, Git, data structures, algorithms and debugging."
Software Development,API Developer,"Python, FastAPI, Flask, Django, REST API, JSON, SQL, Git and backend services."
Web & Full Stack,Frontend Developer,"HTML, CSS, JavaScript, React, TypeScript, responsive design, Git and web development."
Web & Full Stack,React Developer,"JavaScript, React, TypeScript, HTML, CSS, REST API, Git and frontend development."
Web & Full Stack,Full Stack Developer,"HTML, CSS, JavaScript, React, Python, Flask, Django, REST API, SQL and Git."
Web & Full Stack,Backend Developer,"Python, Java, Node.js, REST API, SQL, PostgreSQL, MySQL, Git and backend services."
Web & Full Stack,Web Developer,"HTML, CSS, JavaScript, React, Python, PHP, SQL, Git and responsive web development."
Web & Full Stack,UI Developer,"HTML, CSS, JavaScript, React, TypeScript, responsive design and user interface development."
Cloud & DevOps,Cloud Engineer,"AWS, Azure, GCP, Linux, Docker, Kubernetes, networking, Git and cloud deployment."
Cloud & DevOps,DevOps Engineer,"Linux, Git, Docker, Kubernetes, CI/CD, AWS, Azure, GCP and infrastructure automation."
Cloud & DevOps,Cloud Developer,"Python, REST API, Docker, AWS, Azure, GCP, Git and cloud application development."
Cloud & DevOps,Site Reliability Engineer,"Linux, Python, Docker, Kubernetes, cloud, monitoring, automation, networking and CI/CD."
Cloud & DevOps,Cloud Support Engineer,"AWS, Azure, GCP, Linux, networking, troubleshooting, Python, Git and cloud services."
Cloud & DevOps,Infrastructure Engineer,"Linux, networking, Docker, Kubernetes, cloud platforms, automation and system administration."
Cybersecurity & IT,Cybersecurity Analyst,"Cybersecurity, Linux, networking, threat detection, vulnerability assessment, SIEM and incident response."
Cybersecurity & IT,Security Engineer,"Cybersecurity, Linux, networking, cloud security, vulnerability management, authentication and monitoring."
Cybersecurity & IT,SOC Analyst,"Cybersecurity, SIEM, Linux, networking, incident response, threat intelligence and security monitoring."
Cybersecurity & IT,Network Engineer,"Networking, TCP/IP, Linux, routing, switching, network security and troubleshooting."
Cybersecurity & IT,System Administrator,"Linux, Windows, networking, system administration, troubleshooting, Git, scripting and cloud."
Cybersecurity & IT,IT Support Engineer,"Windows, Linux, networking, troubleshooting, hardware, software support and IT service management."
Cybersecurity & IT,Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, database administration, backup, performance tuning and security."
Product & Project,Product Manager,"Product management, requirements gathering, Agile, Scrum, user research, analytics, roadmap planning and stakeholder management."
Product & Project,Project Manager,"Project management, Agile, Scrum, planning, risk management, stakeholder management and reporting."
Product & Project,Technical Project Manager,"Software development, Agile, Scrum, project management, technical requirements, risk management and stakeholder communication."
Product & Project,Scrum Master,"Agile, Scrum, sprint planning, Jira, team facilitation, project management and stakeholder communication."
Product & Project,Business Analyst,"Requirements analysis, SQL, Excel, business analysis, process modeling, documentation, Agile and stakeholder management."
Product & Project,Product Analyst,"SQL, Excel, Python, analytics, product metrics, dashboards, A/B testing and business analysis."
Design & Creative,UI/UX Designer,"UI design, UX research, Figma, prototyping, wireframing, usability testing and design systems."
Design & Creative,Product Designer,"UI/UX, Figma, prototyping, user research, wireframes, design systems and product development."
Design & Creative,Graphic Designer,"Graphic design, Adobe Photoshop, Illustrator, branding, typography, layouts and visual communication."
Design & Creative,Web Designer,"HTML, CSS, UI design, UX, Figma, responsive design, wireframing and web development."
Marketing & Content,Digital Marketing Specialist,"Digital marketing, SEO, SEM, social media, Google Analytics, content marketing, email marketing and campaign analysis."
Marketing & Content,SEO Specialist,"SEO, keyword research, Google Analytics, content optimization, search engine marketing and reporting."
Marketing & Content,Content Writer,"Content writing, copywriting, SEO, research, editing, communication and digital content."
Marketing & Content,Social Media Specialist,"Social media marketing, content creation, analytics, digital marketing, branding and campaign management."
Marketing & Content,Marketing Analyst,"Marketing analytics, Excel, SQL, Power BI, Google Analytics, reporting and campaign performance."
Sales & Customer Success,Sales Executive,"Sales, lead generation, CRM, communication, negotiation, customer relationship management and business development."
Sales & Customer Success,Business Development Executive,"Business development, sales, lead generation, CRM, negotiation, communication and market research."
Sales & Customer Success,Account Manager,"Account management, customer relationship management, communication, sales, negotiation and client success."
Sales & Customer Success,Customer Success Manager,"Customer success, CRM, communication, onboarding, retention, analytics and stakeholder management."
Sales & Customer Success,Technical Sales Engineer,"Technical sales, software, cloud, APIs, communication, presentations, negotiation and customer support."
Finance & Accounting,Financial Analyst,"Excel, financial modeling, accounting, data analysis, SQL, Power BI, reporting and forecasting."
Finance & Accounting,Business Finance Analyst,"Finance, Excel, financial analysis, budgeting, forecasting, reporting and data visualization."
Finance & Accounting,Accountant,"Accounting, Excel, financial statements, bookkeeping, taxation, auditing and reporting."
Finance & Accounting,Audit Analyst,"Auditing, accounting, Excel, financial analysis, compliance, risk and reporting."
HR & Recruitment,HR Analyst,"Human resources, Excel, HR analytics, recruitment, employee data, reporting and communication."
HR & Recruitment,Recruiter,"Recruitment, talent acquisition, sourcing, interviewing, communication, LinkedIn and applicant tracking systems."
HR & Recruitment,Technical Recruiter,"Technical recruiting, talent acquisition, IT skills, sourcing, interviewing, communication and applicant tracking systems."
HR & Recruitment,HR Executive,"Human resources, recruitment, employee relations, payroll, documentation and communication."
Operations & Management,Operations Analyst,"Excel, SQL, data analysis, process improvement, reporting, operations management and Power BI."
Operations & Management,Operations Executive,"Operations management, Excel, reporting, coordination, process improvement and communication."
Operations & Management,Supply Chain Analyst,"Supply chain, Excel, SQL, data analysis, inventory, logistics, forecasting and reporting."
Operations & Management,Operations Manager,"Operations management, process improvement, team management, reporting, planning and stakeholder management."
Healthcare & Life Sciences,Healthcare Data Analyst,"Python, SQL, Excel, statistics, data analysis, healthcare analytics, dashboards and reporting."
Healthcare & Life Sciences,Clinical Data Analyst,"SQL, Excel, statistics, data analysis, clinical data, reporting and quality control."
Education & Research,Research Assistant,"Research, Python, data analysis, statistics, literature review, documentation and experimentation."
Education & Research,Teaching Assistant,"Teaching, communication, programming, Python, Java, mentoring and academic support."
Education & Research,Technical Trainer,"Python, Java, SQL, programming, communication, teaching, curriculum development and technical training."
